Old Ward Code,New ward code,Ward,% Households without central heating - 2001,Cavity walls that are uninsulated (2010),Lofts with less than 150mm insulation (2010),Indices of Deprivation 2010 Health Deprivation and Disability domain,SMR - 2010,Incapacity Benefit rate - 2010,% aged 60 or over - 2010,Pension Credit rate - 2010,JSA claimant rate - 2010,Income Support rate - 2010,% of children in poverty - 2009,% of households fuel poor (2009)
00AQGM,E05000298,Pinner South,2.6,64.8,70.8,-1.34,50.8,3.0,24.5,9.1,1.6,2.0,10.1,12.0
00AQGN,E05000299,Queensbury,4.6,71.3,73.4,-0.75,92.5,4.8,16.3,29.0,2.8,3.6,23.3,15.4
00AQGP,E05000300,Rayners Lane,5.2,87.1,73.2,-1.22,73.7,3.3,18.3,18.5,2.6,2.0,16.1,13.5
00AQGQ,E05000301,Roxbourne,6.9,77.4,72.2,-0.30,103.2,6.4,12.0,40.0,3.9,6.2,36.1,14.5
00AQGR,E05000302,Roxeth,6.2,81.2,70.4,-0.84,93.8,4.1,15.0,26.8,3.4,3.9,22.5,14.6
00AQGS,E05000303,Stanmore Park,2.5,64.2,70.2,-0.69,101.8,5.9,23.0,24.4,2.7,4.9,23.8,12.6
00AQGT,E05000304,Wealdstone,6.9,77.6,71.7,-0.08,107.3,7.4,17.3,32.1,4.8,7.6,36.3,13.7
00AQGU,E05000305,West Harrow,4.5,74.2,70.9,-0.64,68.0,4.7,17.6,20.0,3.1,3.8,22.6,11.9
00ARGC,E05000306,Brooklands,7.7,76.8,74.0,-0.14,198.2,4.8,13.4,35.9,3.9,4.5,23.3,14.1
00ARGD,E05000307,Cranham,3.3,68.6,66.3,-0.96,82.1,3.1,28.7,10.3,1.9,1.8,10.6,14.5
00ARGE,E05000308,Elm Park,7.2,60.6,67.3,-0.44,100.2,4.8,24.3,23.3,3.6,3.8,21.5,13.9
00ARGF,E05000309,Emerson Park,2.8,65.4,70.3,-0.93,130.5,3.0,22.6,13.3,2.0,1.4,8.8,15.1
00ARGG,E05000310,Gooshays,7.2,40.6,67.6,0.18,134.0,9.7,16.5,44.1,6.0,8.9,35.0,17.3
00ARGH,E05000311,Hacton,4.5,61.3,68.7,-0.84,72.0,3.4,25.7,12.8,2.5,2.0,11.1,15.2
00ARGJ,E05000312,Harold Wood,6.5,64.7,68.9,-0.43,88.8,5.5,23.7,19.8,3.4,3.7,19.2,14.0
00ARGK,E05000313,Havering Park,4.3,66.0,70.8,-0.17,137.7,6.2,19.4,27.1,4.2,5.6,28.3,15.8
00ARGL,E05000314,Heaton,4.2,58.5,68.6,0.24,145.6,9.4,21.1,41.1,5.9,8.4,32.3,14.6
00ARGM,E05000315,Hylands,4.7,70.4,73.6,-0.84,70.2,3.6,19.8,18.6,2.6,1.9,11.6,14.9
00ARGN,E05000316,Mawneys,6.9,68.0,70.8,-0.54,65.3,5.1,26.2,19.2,3.4,3.8,19.3,15.4
00ARGP,E05000317,Pettits,3.2,75.2,72.1,-0.70,86.9,4.0,25.9,12.9,2.1,2.2,10.4,16.0
00ARGQ,E05000318,Rainham and Wennington,5.7,69.1,68.1,-0.37,100.4,5.5,22.4,18.9,3.7,4.8,22.2,14.3
